"","shrimp","almonds","avocado","vegetables mix","green grapes","whole weat flour","yams","cottage cheese","energy drink","tomato juice","low fat yogurt","green tea","honey","salad","mineral water","salmon","antioxydant juice","frozen smoothie","spinach","olive oil"
"2218","grated cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220","black tea","french wine","chocolate","french fries","shallot","brownies","pancakes","toothpaste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221","burgers","spaghetti","milk","bacon","eggs","chocolate","french fries","cookies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222","pickles","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223","mineral water","vegetables mix","eggs","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2224","soup","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2225","green tea","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2226","frozen vegetables","tomato sauce","mineral water","milk","olive oil","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2227","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2228","mineral water","soup","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2230","oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2231","red wine","frozen vegetables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2232","milk","eggs","ham","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2233","grated cheese","shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2234","burgers","french fries","shallot","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2235","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2236","herb & pepper","shrimp","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2237","milk","butter","eggs","toothpaste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2238","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2239","spaghetti","chocolate","milk","eggs","cake","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2240","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2241","burgers","shrimp","mineral water","milk","energy bar","rice","brownies","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2242","cookies","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2243","burgers","shrimp","spaghetti","french wine","chicken","green grapes","green tea","magazines","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2244","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2245","pickles","french fries","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2246","spaghetti","mineral water","milk","strong cheese","chocolate","champagne","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2247","grated cheese","spaghetti","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2248","herb & pepper","ground beef","spaghetti","mineral water","pancakes","tomato juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2249","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2250","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2251","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2252","fresh tuna","shrimp","ground beef","olive oil","cookies","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2253","frozen vegetables","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2254","chocolate","chicken","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2255","grated cheese","red wine","tomatoes","tomato sauce","spaghetti","mineral water","chocolate","almonds","fromage blanc","eggs","cake","blueberries","cooking oil",NA,NA,NA,NA,NA,NA,NA
"2256","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2257","burgers","fresh tuna","tomatoes","mineral water","meatballs","milk","french wine","cider","eggs","cake","cooking oil","hot dogs","green tea",NA,NA,NA,NA,NA,NA,NA
"2258","french wine","honey","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2259","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2260","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2261","turkey","herb & pepper","shrimp","mineral water","eggs","gums","green tea","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2262","cake","barbecue sauce","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2263","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2264","frozen vegetables","eggs","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2265","vegetables mix","eggs","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2266","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2267","grated cheese","chicken","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2268","red wine","tomatoes","mineral water","french wine","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2269","spaghetti","cake","light mayo","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2270","pancakes","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2271","red wine","french wine","salmon","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2272","whole wheat pasta","ground beef","mineral water","soup","nonfat milk","pancakes","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2273","cake","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2274","burgers","milk","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2275","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2276","avocado","eggs","chicken","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2277","tomatoes","mineral water","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2278","dessert wine","herb & pepper","pepper","yogurt cake","fresh bread","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2279","ground beef","mineral water","eggs","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2280","ground beef","milk","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2281","spaghetti","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2282","chocolate","tomatoes","mineral water","cake","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2283","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2284","meatballs","eggplant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2285","meatballs","black tea","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2286","pepper","spaghetti","strong cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2287","fresh tuna","red wine","spaghetti","mineral water","soup","bacon","pancakes","eggs","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2288","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2289","chocolate","spaghetti","mineral water","milk","salmon","green tea","escalope","mushroom cream sauce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2290","mineral water","soup","avocado","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291","turkey","red wine","frozen vegetables","ground beef","pancakes","pet food","protein bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292","shrimp","tomatoes","mineral water","soup","olive oil","chocolate","escalope","yogurt cake","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293","frozen vegetables","mineral water","cereals","sparkling water","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2294","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2295","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2297","shrimp","eggs","cake","french fries","mint","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2298","chocolate","pepper","spaghetti","mineral water","nonfat milk","whole wheat rice","french fries","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2299","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300","chicken","chocolate","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301","grated cheese","frozen vegetables","mineral water","soup","vegetables mix","pancakes","cooking oil","carrots","french fries","escalope","mint",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302","eggs","french fries","brownies","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303","mineral water","salmon","eggs","cake","cauliflower","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2304","eggs","whole wheat rice","frozen smoothie","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305","bacon","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2306","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2307","grated cheese","salmon","cake","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2308","shrimp","spaghetti","mineral water","light cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309","energy bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2310","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2311","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312","french fries","strawberries","low fat yogurt","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2313","escalope","shallot","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314","burgers","grated cheese","herb & pepper","red wine","parmesan cheese","ground beef","spaghetti","avocado","eggs","clothes accessories","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2315","burgers","escalope","salt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316","eggs","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2317","frozen vegetables","parmesan cheese","butter","carrots","oatmeal","green tea","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2318","turkey","grated cheese","ground beef","mineral water","milk","nonfat milk","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2319","burgers","shrimp","whole wheat pasta","spaghetti","french wine","eggs","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2320","mineral water","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2321","ground beef","tomato sauce","mineral water","meatballs","chicken","brownies","fresh bread","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2322","burgers","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2323","frozen vegetables","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2324","red wine","frozen smoothie","cookies","champagne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2325","ham","mineral water","milk","french fries","babies food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2326","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2327","turkey","honey","cooking oil","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2328","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329","mineral water","frozen smoothie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2330","cake","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2331","cookies","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2332","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2333","flax seed","green tea","honey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2334","fresh tuna","shrimp","frozen vegetables","mineral water","milk","olive oil","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2335","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2336","grated cheese","ground beef","pepper","spaghetti","cooking oil","chicken","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2337","cake","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2338","ham","pickles","honey","cottage cheese","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2339","french fries","frozen smoothie","energy drink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2340","milk","chicken","eggs","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2341","olive oil","pancakes","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2342","burgers","spaghetti","milk","chocolate","french fries","cookies","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2343","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2344","ground beef","spaghetti","candy bars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2345","cake","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2346","eggs","green tea","mushroom cream sauce","strawberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2347","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2348","turkey","burgers","tomatoes","spaghetti","eggs","whole weat flour","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2349","burgers","milk","eggs","cake","clothes accessories","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2350","pasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2351","milk","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2352","turkey","eggs","whole wheat rice","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2353","fresh tuna","grated cheese","spaghetti","mineral water","salmon","eggs","mashed potato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2354","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2355","escalope","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2356","chocolate","shrimp","frozen vegetables","spaghetti","mineral water","olive oil","eggs","cake","light cream","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2357","strong cheese","tomato juice","low fat yogurt","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2358","turkey","burgers","shrimp","ground beef","spaghetti","mineral water","milk","olive oil","salmon","honey","whole wheat rice","rice","burger sauce","french fries","hot dogs","protein bar",NA,NA,NA,NA
"2359","tomatoes","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2361","grated cheese","spaghetti","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2362","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2363","eggs","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2364","shampoo","babies food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2365","burgers","turkey","herb & pepper","shrimp","tomato sauce","light cream","cooking oil","pet food","chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2366","eggs","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2367","mineral water","cake","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2368","herb & pepper","frozen vegetables","ground beef","mineral water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2369","fresh tuna","mineral water","pancakes","tea","chocolate","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2370","avocado","energy bar","muffins","french fries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2371","eggs","chocolate","escalope",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2372","burgers","dessert wine","champagne","frozen smoothie","cookies","hot dogs","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2373","shrimp","french fries","champagne","cookies","pancakes","yogurt cake","light mayo","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2374","mineral water","salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2375","mineral water","soup","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2376","burgers","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2377","ground beef","mineral water","oil","barbecue sauce","frozen smoothie","brownies","white wine","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2378","burgers","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2379","avocado","milk","eggs","ham","chocolate","french fries","pancakes","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2380","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2381","shrimp","ground beef","spaghetti","olive oil","fromage blanc","eggs","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2382","red wine","ground beef","salmon","eggs","whole wheat rice","cooking oil","french fries","frozen smoothie","champagne","cauliflower","low fat yogurt","honey",NA,NA,NA,NA,NA,NA,NA,NA
"2383","shrimp","frozen vegetables","tomatoes","parmesan cheese","whole wheat pasta","ground beef","spaghetti","energy bar","pet food","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2384","spaghetti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2385","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2386","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2387","fresh tuna","spaghetti","flax seed","pancakes","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2388","energy bar","brownies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2389","mineral water","whole wheat rice","cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2390","cookies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2391","turkey","burgers","mineral water","cooking oil","chocolate bread","pancakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2392","mineral water","green grapes","cooking oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2393","shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2394","turkey","grated cheese","tomato sauce","spaghetti","chocolate","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2395","turkey","burgers","spaghetti","mineral water","chocolate","soup","avocado","milk","whole wheat rice","cake","brownies","pancakes","white wine",NA,NA,NA,NA,NA,NA,NA
"2396","milk","energy bar","escalope","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2397","olive oil","flax seed","pancakes","light cream","oil","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2398","light mayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2399","turkey","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2400","chocolate","herb & pepper","tomatoes","whole wheat pasta","spaghetti","mineral water","olive oil","vegetables mix","pancakes","hot dogs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2401","burgers","eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2402","whole wheat rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2403","tomatoes","spaghetti","mineral water","olive oil","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2404","chocolate","cottage cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2405","chocolate","butter","salmon","muffins","carrots","escalope","low fat yogurt","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2406","burgers","frozen vegetables","spaghetti","chocolate","almonds","pancakes","eggs","whole wheat rice","fresh bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2407","grated cheese","milk","energy bar","salmon","vegetables mix","eggs","bramble","escalope","gluten free bar","cauliflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2408","fresh tuna","eggs","french fries","green tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2409","shrimp","ground beef","pancakes","cooking oil","white wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2410","eggs","cake","rice","french fries","frozen smoothie","yogurt cake",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2411","frozen vegetables","mineral water","olive oil","brownies","low fat yogurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
